날짜,지점,강수량(mm)
2022-07-21,108,10.4
2022-07-22,108,5.2
2022-07-23,108,9.9
2022-07-24,108,1.2
2022-07-25,108,
2022-07-26,108,
2022-07-27,108,
2022-07-28,108,
2022-07-29,108,
2022-07-30,108,1
2022-07-31,108,47.2
2022-08-01,108,30
2022-08-02,108,33.5
2022-08-03,108,51.1
2022-08-04,108,0
2022-08-05,108,0
2022-08-06,108,13.6
2022-08-07,108,0.9
2022-08-08,108,129.6
2022-08-09,108,123.1
2022-08-10,108,7.6
2022-08-11,108,38.8
2022-08-12,108,
2022-08-13,108,4
2022-08-14,108,3
2022-08-15,108,0.9
2022-08-16,108,0
2022-08-17,108,0
2022-08-18,108,
2022-08-19,108,66.1
2022-08-20,108,0
2022-08-21,108,
2022-08-22,108,3.2
2022-08-23,108,2.2
2022-08-24,108,
2022-08-25,108,1.6
2022-08-26,108,
2022-08-27,108,17.6
2022-08-28,108,
2022-08-29,108,2.2
2022-08-30,108,35.8
2022-08-31,108,0
2022-09-01,108,
2022-09-02,108,
2022-09-03,108,
2022-09-04,108,33.8
2022-09-05,108,120
2022-09-06,108,25.3
2022-09-07,108,
2022-09-08,108,
2022-09-09,108,
2022-09-10,108,
2022-09-11,108,0.1
2022-09-12,108,
2022-09-13,108,0
2022-09-14,108,0
2022-09-15,108,0.1
2022-09-16,108,14.6
2022-09-17,108,4.3
2022-09-18,108,
2022-09-19,108,
2022-09-20,108,
2022-09-21,108,
2022-09-22,108,
2022-09-23,108,3.3
2022-09-24,108,
2022-09-25,108,
2022-09-26,108,
2022-09-27,108,
2022-09-28,108,
2022-09-29,108,
2022-09-30,108,
2022-10-01,108,
2022-10-02,108,15.8
2022-10-03,108,76
2022-10-04,108,11.8
2022-10-05,108,0.1
2022-10-06,108,0
2022-10-07,108,
2022-10-08,108,
2022-10-09,108,20.4
2022-10-10,108,0
2022-10-11,108,
2022-10-12,108,
2022-10-13,108,
2022-10-14,108,
2022-10-15,108,
2022-10-16,108,
2022-10-17,108,
2022-10-18,108,
2022-10-19,108,
2022-10-20,108,
2022-10-21,108,
2022-10-22,108,
2022-10-23,108,
2022-10-24,108,
2022-10-25,108,
2022-10-26,108,
2022-10-27,108,
2022-10-28,108,
2022-10-29,108,
2022-10-30,108,
2022-10-31,108,
2022-11-01,108,
2022-11-02,108,
2022-11-03,108,0
2022-11-04,108,
2022-11-05,108,
2022-11-06,108,
2022-11-07,108,0
2022-11-08,108,
2022-11-09,108,
2022-11-10,108,
2022-11-11,108,
2022-11-12,108,57.9
2022-11-13,108,
2022-11-14,108,
2022-11-15,108,1.6
2022-11-16,108,
2022-11-17,108,
2022-11-18,108,
2022-11-19,108,
2022-11-20,108,
2022-11-21,108,
2022-11-22,108,0
2022-11-23,108,0
2022-11-24,108,
2022-11-25,108,1.7
2022-11-26,108,
2022-11-27,108,
2022-11-28,108,19.5
2022-11-29,108,3.8
2022-11-30,108,
2022-12-01,108,
2022-12-02,108,
2022-12-03,108,1.1
2022-12-04,108,
2022-12-05,108,
2022-12-06,108,0.1
2022-12-07,108,0.1
2022-12-08,108,
2022-12-09,108,0
2022-12-10,108,
2022-12-11,108,
2022-12-12,108,5.4
2022-12-13,108,0.6
2022-12-14,108,
2022-12-15,108,2.4
2022-12-16,108,
2022-12-17,108,0.2
2022-12-18,108,
2022-12-19,108,
2022-12-20,108,
2022-12-21,108,3.6
2022-12-22,108,
2022-12-23,108,
2022-12-24,108,
2022-12-25,108,
2022-12-26,108,
2022-12-27,108,
2022-12-28,108,0.1
2022-12-29,108,0
2022-12-30,108,0
2022-12-31,108,0
