동별,연령별,항목,2022 년
평창동,5~9세,외국인,3
평창동,10~14세,계,723
평창동,10~14세,한국인,720
평창동,10~14세,외국인,3
평창동,15~19세,계,817
평창동,15~19세,한국인,809
평창동,15~19세,외국인,8
평창동,20~24세,계,1033
평창동,20~24세,한국인,1026
평창동,20~24세,외국인,7
평창동,25~29세,계,1173
평창동,25~29세,한국인,1164
평창동,25~29세,외국인,9
평창동,30~34세,계,1018
평창동,30~34세,한국인,1000
평창동,30~34세,외국인,18
평창동,35~39세,계,1128
평창동,35~39세,한국인,1108
평창동,35~39세,외국인,20
평창동,40~44세,계,1315
평창동,40~44세,한국인,1292
평창동,40~44세,외국인,23
평창동,45~49세,계,1287
평창동,45~49세,한국인,1267
평창동,45~49세,외국인,20
평창동,50~54세,계,1697
평창동,50~54세,한국인,1670
평창동,50~54세,외국인,27
평창동,55~59세,계,1531
평창동,55~59세,한국인,1517
평창동,55~59세,외국인,14
평창동,60~64세,계,1551
평창동,60~64세,한국인,1532
평창동,60~64세,외국인,19
평창동,65~69세,계,1207
평창동,65~69세,한국인,1196
평창동,65~69세,외국인,11
평창동,70~74세,계,732
평창동,70~74세,한국인,727
평창동,70~74세,외국인,5
평창동,75~79세,계,613
평창동,75~79세,한국인,611
평창동,75~79세,외국인,2
평창동,80~84세,계,491
평창동,80~84세,한국인,490
평창동,80~84세,외국인,1
평창동,85~89세,계,307
평창동,85~89세,한국인,305
평창동,85~89세,외국인,2
평창동,90~94세,계,102
평창동,90~94세,한국인,102
평창동,90~94세,외국인,0
평창동,95~99세,계,33
평창동,95~99세,한국인,33
평창동,95~99세,외국인,0
평창동,100세 이상,계,10
평창동,100세 이상,한국인,10
평창동,100세 이상,외국인,0
무악동,계,계,8052
무악동,계,한국인,8023
무악동,계,외국인,29
무악동,0~4세,계,209
무악동,0~4세,한국인,209
무악동,0~4세,외국인,0
무악동,5~9세,계,361
무악동,5~9세,한국인,361
무악동,5~9세,외국인,0
무악동,10~14세,계,477
